burst into|The last notes died away and the audience burst into applause.
slow down|She eased off the accelerator to let the car slow down.
blow away|We fastened it down to keep the wind from blowing it away.
settle down|They were fooling about and wouldn't settle down.
look after|He gave his daughter away and told the groom to look after her.
disagree with|She hates on people who disagree with her ideas.
blow away|We lashed the tarpaulin down to stop the wind blowing it away.
find out|When Zeke found out they were coming for him he lit out for the border.
ask about|I had to nerd out when they asked about conditionals and deontic modality.
disagree with|I disagreed with the idea but I had to play along because everyone else liked it.
fight back|They pushed him about because he couldn't fight back.
tire of|Quit rambling on- I�m tired of listening to you.
write down|I read off the figures and she wrote them down in her notebook.
ride off|She saddled up the horse and rode off.
disagree with|Many people have been shut away in psychiatric hospitals for disagreeing with the government.
calm down|Starting work has straightened him out and calmed him down.
pay back|He didn't want to pay me back, but I got him to stump up in the end.
be after|There's only one thing he's after.
find out|- Perhaps we'll find out.
hear about|I did hear something about that.
belong to|He belongs to me now." 
bunk off|Episode 2: Bunk Off 
bunk off|- We can't bunk off tomorrow now.
bunk off|We're bunking off.
be after|- Must have been after the chicken.
find out|- He'll go mental if he finds out.
head for|we headed for the off-licence. 
soak up|Something to soak up the alcohol.
head for|And so we headed for Carli's house. 
sort out|- and we can sort this out?
wash away|Best to avoid them until this has washed away.
wash away|- I'm not sure this washes away...
bunk off|Mum knows you bunked off.
look after|- I could come and look after him.
go about|So Dad went totally ballistic about the driveway.
think over|I think you're still invited over for Christmas 
let down|- I feel totally let down, William.
cough up|than coughing up your last with no one but your horses to hear.
hunt down|They'll send a lot more to hunt down murderers.
open up|Well, we'll have to open them up again.
calm down|- Hodor, calm down.
head for|You and Osha and Shaggydog head for the Last Hearth.
hear about|Even I heard about them growing up.
line up|Go on, line 'em up! 
swear by|I swear it by the old gods and new.
swear by|You swore by all the gods your son would marry my daughter!
smoke out|Smoke 'em out!
throw away|throw it away?
slow down|Slow down, son.
slow down|Slow down.
split up|We'll cover more ground splitting up.
soldier on|but we'll soldier on.
ask about|What do we do when the people start asking about the propane?
ask about|start asking about the propane?
calm down|Calm down.
hear about|did you hear anything more about the military 
find out|So what'd you find out?
find out|Until I find out 
belong to|She belongs to me.
belong to|She still belongs to me.
stay away|You just stay the hell away from me.
